Customer_ID,Recency,Frequency,Monetary,Segment
17850,5.921578419643816,5.697093486505405,8.59271059842128,Regular
13047,3.4965075614664802,5.153291594497779,8.082877889943946,High Value
12583,1.3862943611198906,5.497168225293202,8.872231997611289,High Value
13748,4.574710978503383,3.367295829986474,6.855672199111912,Regular
15100,5.814130531825066,1.3862943611198906,6.776506992372183,At Risk
15291,3.295836866004329,4.624972813284271,8.360141641464116,High Value
14688,2.1972245773362196,5.783825182329737,8.626961976361729,High Value
17809,2.833213344056216,4.110873864173311,8.567937635212854,High Value
15311,0.6931471805599453,7.759614150696903,10.941232971298104,High Value
16098,4.48863636973214,4.219507705176107,7.604211977042565,Regular
18074,5.926926025970411,2.6390573296152584,6.195629131824389,At Risk
17420,3.9318256327243257,3.4339872044851463,6.3966462817363405,Regular
16029,3.6888794541139363,5.087596335232384,10.342127570602036,High Value
16250,5.568344503761097,3.2188758248682006,5.967274308306765,At Risk
12431,4.110873864173311,5.44673737166631,8.555088025980846,High Value
17511,1.3862943611198906,6.748759547491679,11.199696361683412,High Value
13705,2.1972245773362196,3.367295829986474,6.569285047698251,Regular
13747,5.926926025970411,0.6931471805599453,4.389498649512583,At Risk
13408,1.0986122886681098,6.148468295917647,10.189909331151156,High Value
13767,1.0986122886681098,5.8971538676367405,9.641535603055129,High Value
17924,2.5649493574615367,3.4657359027997265,7.994126281227893,Regular
13448,2.8903717578961645,5.272999558563747,8.170663750231064,High Value
15862,2.1972245773362196,4.997212273764115,6.726089507114236,High Value
15513,3.5263605246161616,5.720311776607412,9.56213603154386,High Value
12791,5.926926025970411,1.0986122886681098,5.265794174842477,At Risk
16218,3.4339872044851463,4.442651256490317,8.034527333444103,High Value
14307,4.499809670330265,5.198497031265826,8.005273636192019,Regular
17908,5.926926025970411,4.007333185232471,5.451167200642247,At Risk
17920,1.6094379124341003,6.499787040655854,8.308943178692019,High Value
12838,3.5553480614894135,4.795790545596741,6.5116710326797245,Regular
13255,2.302585092994046,2.6390573296152584,5.992738734985712,Regular
16583,5.926926025970411,2.70805020110221,5.457242345535596,At Risk
18085,5.802118375377063,3.4011973816621555,6.538067462249494,At Risk
13758,2.5649493574615367,4.762173934797756,8.049130078150908,High Value
13694,1.6094379124341003,6.061456918928017,10.616134863664339,High Value
15983,3.1354942159291497,4.727387818712341,7.29037473448544,Regular
14849,3.1354942159291497,5.961005339623274,8.968566855528678,High Value
17968,5.926926025970411,4.406719247264253,5.583872177983643,At Risk
16210,1.0986122886681098,4.718498871295094,8.71836594264548,High Value
17897,5.159055299214529,4.6913478822291435,6.2967593507829065,Regular
17377,3.2188758248682006,6.003887067106539,8.30877075088342,High Value
16552,5.497168225293202,2.8903717578961645,5.9420904624901825,At Risk
17181,4.060443010546419,3.1354942159291497,5.08586644477257,At Risk
17951,3.713572066704308,3.044522437723423,6.917250060543926,Regular
14729,5.926926025970411,4.276666119016055,5.750952279132591,At Risk
12748,0.6931471805599453,8.388222810119277,10.330563782347145,High Value
15012,4.007333185232471,4.812184355372417,6.00645167691623,Regular
12868,5.231108616854587,4.68213122712422,7.3827837624756185,Regular
17572,4.276666119016055,2.5649493574615367,5.428248536140067,At Risk
14078,4.634728988229636,4.189654742026425,6.956897762032364,Regular
14001,3.8501476017100584,3.6888794541139363,7.622703089500935,Regular
12662,0.6931471805599453,5.442417710521793,8.256031004164345,High Value
15525,1.0986122886681098,5.056245805348308,6.600373773909423,High Value
14237,5.924255797414532,2.302585092994046,5.087596335232384,At Risk
17905,5.062595033026967,3.4965075614664802,6.427685152136138,Regular
15485,3.4339872044851463,4.454347296253507,7.849908670382019,Regular
12433,0.6931471805599453,6.028278520230698,9.461683355404942,High Value
16955,5.225746673713202,3.258096538021482,6.25319399473728,At Risk
15350,5.924255797414532,1.791759469228055,4.759177998467439,At Risk
15605,3.6109179126442243,4.219507705176107,7.089434963153261,Regular
18144,3.4657359027997265,3.6635616461296463,7.455732168378921,Regular
15922,5.924255797414532,2.4849066497880004,5.914853444736141,At Risk
14594,2.0794415416798357,3.970291913552122,5.898060050335743,Regular
15165,5.924255797414532,3.332204510175204,6.1918511112995755,At Risk
14911,0.6931471805599453,8.6347984334905,11.810642097401072,High Value
16456,4.605170185988092,4.709530201312334,7.677483798971011,Regular
17346,1.6094379124341003,6.182084906716632,7.872409417310936,High Value
17643,5.924255797414532,2.1972245773362196,4.63035048451839,At Risk
17841,1.0986122886681098,8.945462952177666,10.607635007614938,High Value
17873,4.394449154672439,3.784189633918261,7.522919296216998,Regular
13093,5.6240175061873385,5.075173815233827,8.966160858120457,Regular
12921,2.302585092994046,6.580639137284949,9.716440246960428,High Value
17760,3.1354942159291497,3.258096538021482,5.665006995704794,Regular
13468,1.0986122886681098,5.713732805509369,8.64926827413607,High Value
16928,4.394449154672439,5.3230099791384085,7.942966177511865,High Value
16048,5.924255797414532,2.1972245773362196,5.550786683244073,At Risk
16274,5.924255797414532,4.189654742026425,5.865759590732924,At Risk
14496,5.746203190540153,2.995732273553991,6.2912172257920815,At Risk
14696,1.6094379124341003,4.875197323201151,7.640099133944896,High Value
16539,1.3862943611198906,3.828641396489095,7.236922326134238,High Value
17025,4.127134385045092,2.302585092994046,5.882681514648826,At Risk
13777,0.6931471805599453,5.117993812416755,9.44371302716394,High Value
17690,3.4339872044851463,5.53338948872752,8.461215257006781,High Value
12947,4.976733742420574,4.584967478670572,7.380872805015112,Regular
17460,4.553876891600541,3.4011973816621555,6.435236489370733,Regular
18229,2.5649493574615367,5.10594547390058,8.892597638039238,High Value
14142,5.924255797414532,3.1354942159291497,5.745595977469612,At Risk
17069,3.367295829986474,4.969813299576001,7.904962183102404,High Value
13065,5.924255797414532,2.70805020110221,5.3320422359496575,At Risk
